ticker,event_date,event_type,headline,summary,source_url,sentiment
AAPL,2024-06-10,product_launch,Apple Unveils Apple Intelligence at WWDC 2024,"Introduced on-device and private cloud generative AI architecture integrated across iOS, iPadOS, and macOS.",https://www.apple.com/newsroom/2024/06/introducing-apple-intelligence-for-iphone-ipad-and-mac/,positive
AAPL,2024-02-27,restructuring,Apple Winds Down Decadelong Autonomous Electric Car Project Titan,Reallocated several hundred engineers from hardware automotive engineering to generative AI software development teams.,https://www.bloomberg.com/news/articles/2024-02-27/apple-to-cancel-electric-car-project-ending-decadelong-effort,neutral
AAPL,2024-08-01,earnings,Apple Reports Record June Quarter Services Revenue,"Services revenue reached a new all-time high, while quarterly revenue rose 5% year over year to $85.8 billion and diluted earnings per share rose 11% to $1.40.",https://www.apple.com/newsroom/2024/08/apple-reports-third-quarter-results/,positive
MSFT,2024-01-25,layoff,"Microsoft Cuts 1,900 Roles in Gaming Division Post-Activision Acquisition","Cut 1,900 gaming roles across Activision Blizzard and Xbox following Microsoft's acquisition of Activision Blizzard.",https://www.theverge.com/2024/1/25/24049050/microsoft-activision-blizzard-layoffs,negative
MSFT,2024-04-16,M&A,Microsoft Invests $1.5 Billion in Abu Dhabi AI Leader G42,"Announced a $1.5 billion strategic investment in G42; G42 will run its AI applications and services on Microsoft Azure, while the companies expand AI and digital infrastructure efforts across the Middle East, Central Asia, and Africa.",https://news.microsoft.com/source/2024/04/16/microsoft-invests-1-5-billion-in-abu-dhabis-g42-to-accelerate-ai-development-and-global-expansion/,positive
MSFT,2024-10-30,earnings,Azure and Other Cloud Services Revenue Grows 33%,"Azure and other cloud services revenue grew 33% year over year; Microsoft Cloud revenue was $38.9 billion, up 22% year over year.",https://www.microsoft.com/en-us/investor/earnings/fy-2025-q1/press-release-webcast,positive
NVDA,2024-03-18,product_launch,NVIDIA Announces Blackwell Platform at GTC 2024,"NVIDIA announced the Blackwell platform, including the GB200 Grace Blackwell Superchip; GB200 NVL72 provides up to a 30x performance increase compared with the same number of NVIDIA H100 GPUs for LLM inference workloads.",https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,positive
NVDA,2024-05-22,earnings,NVIDIA Announces 10-for-1 Stock Split and 150% Dividend Increase,Quarterly revenue rose 262% YoY to $26.0B as datacenter compute revenue set all-time records.,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-first-quarter-fiscal-2025,positive
NVDA,2024-09-15,hiring,NVIDIA Expands AI Hardware Engineering Headcount by 15% for Datacenter Ramp,"Aggressively recruited 3,800+ hardware architects, silicon packaging engineers, and CUDA software specialists globally.",https://www.reuters.com/technology/nvidia-hiring-surge-datacenter-expansion-2024-09-15/,positive
GOOG,2024-01-11,layoff,Google Lays Off Hundreds Across Core Engineering and Hardware Units,"Trimmed headcounts across voice assistant, Pixel, and central engineering teams to prioritize generative AI investments.",https://www.nytimes.com/2024/01/11/technology/google-layoffs.html,negative
GOOG,2024-05-14,product_launch,Google Expands AI Overviews in U.S. Search,"Google began rolling out AI Overviews to everyone in the U.S., powered by a custom Gemini model for Search, with expanded capabilities for more complex questions and planning.",https://blog.google/products-and-platforms/products/search/generative-ai-google-search-may-2024/,positive
GOOG,2024-10-29,earnings,Alphabet Q3 Cloud Revenue Jumps 35% to $11.4 Billion,"Google Cloud revenue increased 35% to $11.4 billion, led by accelerated growth in AI Infrastructure, Generative AI Solutions, and core GCP products; Google Cloud operating margin increased to 17%.",https://abc.xyz/2024-q3-earnings-call/,positive
CRM,2024-09-12,product_launch,Salesforce Unveils Agentforce Autonomous AI Agents,"Salesforce unveiled Agentforce, a suite of autonomous AI agents that augment employees and handle tasks across service, sales, marketing, and commerce.",https://www.salesforce.com/news/press-releases/2024/09/12/agentforce-announcement/,positive
CRM,2024-02-28,earnings,Salesforce Initiates First-Ever Quarterly Dividend and Boosts Buyback,"Management emphasized GAAP operating margin discipline and capital returns, hitting 14.4% GAAP operating margin.",https://investor.salesforce.com/press-releases/press-release-details/2024/Salesforce-Reports-Fourth-Quarter-and-Fiscal-Year-2024-Results/default.aspx,positive
CRM,2024-11-12,hiring,"Salesforce Announces Hiring of 1,000+ Account Executives to Sell Agentforce",Launched global hiring campaign to build dedicated specialized sales force for its new enterprise AI agent software suite.,https://www.bloomberg.com/news/articles/2024-11-12/salesforce-to-hire-over-1-000-workers-for-new-ai-agent-sales,positive
ADBE,2023-12-18,M&A,Adobe and Figma Mutually Agree to Terminate Merger Agreement,Adobe and Figma mutually agreed to terminate their previously announced merger agreement after determining there was no clear path to the necessary regulatory approvals from the European Commission and the UK Competition and Markets Authority.,https://news.adobe.com/news/news-details/2023/adobe-and-figma-mutually-agree-to-terminate-merger-agreement,negative
ADBE,2024-04-23,product_launch,Adobe Adds Generative AI Video Tools and Firefly Video Model to Premiere,"Enabled commercial-safe text-to-video, generative extend, and object addition directly in video editing timeline.",https://news.adobe.com/news/news-details/2024/Adobe-Unveils-Firefly-Video-Model/default.aspx,positive
ADBE,2024-09-12,earnings,Adobe Reports Record Q3 Fiscal 2024 Revenue of $5.41 Billion,"Adobe reported record third-quarter fiscal 2024 revenue of $5.41 billion, up 11% year over year, with $504 million of net new Digital Media annualized recurring revenue.",https://news.adobe.com/news/news-details/2024/adobe-reports-record-revenue-in-q3-fiscal-2024,positive
INTC,2024-08-01,layoff,Intel Announces More Than 15% Headcount Reduction in $10 Billion Cost Plan,"Announced a $10 billion cost-reduction program, including a more-than-15% reduction in total workforce, and suspended its quarterly dividend beginning in the fourth quarter of 2024.",https://www.intc.com/news-events/press-releases/detail/1704/intel-reports-second-quarter-2024-financial-results,negative
INTC,2024-09-16,restructuring,Intel Plans Independent Foundry Subsidiary and Expands AWS Collaboration,"Planned to establish Intel Foundry as an independent subsidiary and expand its strategic collaboration with AWS through a multi-year, multi-billion-dollar framework including an AI fabric chip on Intel 18A and a custom Xeon 6 chip on Intel 3.",https://newsroom.intel.com/corporate/intel-transforms-foundry,positive
INTC,2024-11-26,guidance,Intel Awarded $7.86 Billion in CHIPS Act Direct Funding,"Finalized a binding CHIPS Act award of up to $7.86 billion to support U.S. semiconductor manufacturing expansion in Arizona, New Mexico, Ohio, and Oregon.",https://www.nist.gov/news-events/news/2024/11/biden-harris-administration-announces-chips-incentives-award-intel-advance,positive
WMT,2024-02-20,M&A,Walmart to Acquire Smart TV Maker Vizio for $2.3 Billion,"Announced an agreement to acquire VIZIO for approximately $2.3 billion, including its SmartCast operating system, to expand Walmart Connect and connected-TV advertising opportunities.",https://corporate.walmart.com/news/2024/02/20/walmart-agrees-to-acquire-vizio-holding-corp-to-accelerate-growth-of-walmart-connect-in-the-u-s,positive
WMT,2024-05-14,restructuring,Walmart Relocates Corporate Employees and Trims Hundreds of Campus Roles,"Consolidated smaller regional tech offices into Bentonville headquarters, Sunnyvale, and Hoboken tech hubs.",https://www.wsj.com/business/retail/walmart-layoffs-corporate-relocation-f8bc277c,negative
WMT,2024-11-19,earnings,Walmart Raises Full-Year Outlook as Higher-Income Shoppers Drive Market Share,US comparable sales rose 5.3% as e-commerce expanded 22% behind store-fulfilled pickup and delivery.,https://corporate.walmart.com/news/2024/11/19/walmart-releases-q3-fy25-earnings,positive
AMZN,2024-03-27,M&A,Amazon Completes $4 Billion Investment in AI Startup Anthropic,Designated AWS as primary cloud provider for mission-critical workloads and Trainium/Inferentia chip co-development.,https://www.aboutamazon.com/news/company-news/amazon-anthropic-ai-investment,positive
AMZN,2024-09-16,restructuring,Amazon Mandates 5-Day In-Office Work Week and Flattens Managerial Layers,CEO Andy Jassy directed corporate employees back to offices full-time by Jan 2025 and increased individual contributor ratios.,https://www.aboutamazon.com/news/company-news/ceo-andy-jassy-update-on-amazon-workplace,neutral
AMZN,2024-10-31,earnings,AWS Sales Grow 19% to $27.5 Billion,AWS sales increased 19% year over year to $27.5 billion; North America operating income increased to $5.7 billion and International segment operating income reached $1.3 billion.,https://ir.aboutamazon.com/news-release/news-release-details/2024/Amazon.com-Announces-Third-Quarter-Results-2024/,positive
TGT,2024-03-05,product_launch,Target Relaunches Target Circle Loyalty Program with Paid 360 Membership,Introduced unlimited same-day delivery via Shipt for $99/year to compete with Amazon Prime and Walmart+.,https://corporate.target.com/press/releases/2024/03/target-relaunches-target-circle,positive
TGT,2024-08-21,earnings,Target Q2 Operating Margin Expands to 6.4% as Comparable Sales Grow 2.0%,"Second-quarter comparable sales increased 2.0% and traffic grew 3%; digital comparable sales rose 8.7%, while the operating income margin rate increased to 6.4%.",https://corporate.target.com/press/releases/2024/08/target-corporation-reports-second-quarter-earnings,positive
TGT,2024-11-20,earnings,Target Lowers Full-Year Forecast as Discretionary Category Weakness Persists,Reported soft discretionary apparel and home sales alongside supply chain cost friction related to port strikes.,https://corporate.target.com/press/releases/2024/11/target-corporation-reports-third-quarter-earnings,negative
COST,2024-07-10,guidance,Costco Announces First Membership Fee Increase Since 2017,Raised US/Canada Gold Star fee from $60 to $65 and Executive Membership from $120 to $130 effective Sept 2024.,https://investor.costco.com/news/news-details/2024/Costco-Wholesale-Corporation-Reports-June-Sales-Results-and-Announces-an-Increase-in-Membership-Fees/default.aspx,positive
COST,2024-09-26,earnings,Costco FY2024 Net Income Reaches $7.37 Billion with 92.7% U.S./Canada Renewal Rate,"Paid membership reached 76.2 million cardholders; total-company comparable sales increased 5.4%, or 6.9% excluding gasoline prices and foreign exchange, and U.S./Canada renewal was 92.7%.",https://investor.costco.com/news/news-details/2024/Costco-Wholesale-Corporation-Reports-Fourth-Quarter-and-Fiscal-Year-2024-Operating-Results/default.aspx,positive
COST,2024-10-15,hiring,"Costco Opens 14 New Warehouses and Hires 4,200 Hourly Club Workers","Expanded global footprint in Japan, Korea, and North America, maintaining industry-leading retail retention rates.",https://www.costco.com/warehouse-expansion-updates-2024.html,positive
HD,2024-03-28,M&A,Home Depot to Acquire SRS Distribution in $18.25 Billion Megadeal,"Announced an agreement to acquire SRS Distribution for approximately $18.25 billion in enterprise value, expanding The Home Depot's professional customer offering across roofing, landscaping, and pool-contractor distribution.",https://ir.homedepot.com/news-releases/2024/03-28-2024-100021644,positive
