ticker,fiscal_year,revenue,revenue_growth_pct,net_income,gross_margin_pct,operating_margin_pct,ebitda,free_cash_flow,total_debt,cash,debt_to_ebitda,eps,roe_pct,source,source_url
AAPL,2023,383285000000,-2.8,96995000000,44.1,29.8,125820000000,99584000000,111088000000,29965000000,0.88,6.13,156.08,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
AAPL,2024,391035000000,2.0,93736000000,46.2,31.5,134661000000,108807000000,106629000000,29943000000,0.79,6.08,164.59,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm
MSFT,2023,211915000000,6.9,72361000000,68.9,41.8,102384000000,59475000000,59965000000,34704000000,0.59,9.68,38.82,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
MSFT,2024,245122000000,15.7,88136000000,69.8,44.6,129432000000,74071000000,44937000000,18315000000,0.35,11.8,37.13,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm
NVDA,2023,26974000000,0.2,4368000000,56.9,15.7,5768000000,3808000000,12031000000,3389000000,2.09,1.74,17.95,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
NVDA,2024,60922000000,125.9,29760000000,72.7,54.1,34480000000,27021000000,11054000000,7280000000,0.32,11.93,91.46,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm
GOOG,2023,307394000000,8.7,73795000000,56.6,27.4,96239000000,69495000000,28892000000,24049000000,0.3,5.8,27.36,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm
GOOG,2024,350018000000,13.9,100118000000,58.2,32.1,127701000000,72764000000,27440000000,26850000000,0.21,8.04,32.91,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
CRM,2023,31352000000,18.3,208000000,73.3,3.3,1933000000,6313000000,14188000000,7016000000,7.34,0.21,0.36,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852423000011/crm-20230131.htm
CRM,2024,34857000000,11.2,4136000000,75.5,14.4,5995000000,9497000000,12175000000,8489000000,2.03,4.2,7.05,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852424000005/crm-20240131.htm
ADBE,2023,19409000000,10.2,5428000000,87.9,34.3,7522000000,6942000000,4165000000,7141000000,0.55,11.82,35.51,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm
ADBE,2024,21505000000,10.8,5560000000,89.0,31.3,7598000000,7873000000,6150000000,7613000000,0.81,12.36,36.31,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/796343/000079634325000004/adbe-20241129.htm
INTC,2023,54228000000,-14.0,1675000000,40.0,0.2,9695000000,-14279000000,49330000000,7079000000,5.09,0.4,1.58,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm
INTC,2024,53101000000,-2.1,-18756000000,32.7,-22.0,-299000000,-15656000000,52880000000,8249000000,, -4.38,-18.89,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm
