ticker,fiscal_year,revenue,revenue_growth_pct,net_income,gross_margin_pct,operating_margin_pct,ebitda,free_cash_flow,total_debt,cash,debt_to_ebitda,eps,roe_pct,source,source_url
UPS,2023,90958000000,-9.3,6708000000,23.0,10.0,12507000000,5080000000,22264000000,3206000000,1.78,7.80,36.14,SEC 10-K FY2023,https://www.sec.gov/Archives/edgar/data/1090727/000109072724000008/ups-20231231.htm
UPS,2024,91070000000,0.1,5782000000,21.3,9.3,12077000000,6213000000,21284000000,6112000000,1.76,6.75,34.00,SEC 10-K FY2024,https://www.sec.gov/Archives/edgar/data/1090727/000109072725000019/ups-20241231.htm
FDX,2023,90155000000,-3.6,3972000000,25.1,5.4,9088000000,2674000000,19779000000,6856000000,2.18,15.48,15.57,SEC 10-K FY2023,https://www.sec.gov/Archives/edgar/data/1048911/000095017023033201/fdx-20230531.htm
FDX,2024,87693000000,-2.7,4331000000,25.9,6.3,9846000000,3136000000,19772000000,6501000000,2.01,17.21,16.14,SEC 10-K FY2024,https://www.sec.gov/Archives/edgar/data/1048911/000095017024083577/fdx-20240531.htm
EXPD,2023,9300110000,-45.5,752883000,31.8,10.1,1008000000,1014000000,0,1512883000,0.00,5.01,31.50,SEC 10-K FY2023,https://www.sec.gov/Archives/edgar/data/746515/000074651524000014/expd-20231231.htm
EXPD,2024,10600515000,14.0,810073000,30.5,9.8,1102000000,683000000,0,1148320000,0.00,5.72,35.12,SEC 10-K FY2024,https://www.sec.gov/Archives/edgar/data/746515/000074651525000015/expd-20241231.htm
CHRW,2023,17596443000,-28.7,325129000,14.8,2.9,614000000,648000000,1580487000,145524000,2.57,2.72,23.46,SEC 10-K FY2023,https://www.sec.gov/Archives/edgar/data/1043277/000104327724000012/chrw-20231231.htm
CHRW,2024,17724956000,0.7,465690000,15.6,3.8,773000000,435000000,1377649000,145762000,1.78,3.86,29.65,SEC 10-K FY2024,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000011/chrw-20241231.htm
XPO,2023,7744000000,0.3,189000000,17.5,5.7,996000000,-839000000,3404000000,412000000,3.42,1.60,16.60,SEC 10-K FY2023,https://www.sec.gov/Archives/edgar/data/1166003/000116600324000013/xpo-20231231.htm
XPO,2024,8072000000,4.2,387000000,18.9,8.2,1266000000,19000000,3387000000,246000000,2.68,3.23,27.00,SEC 10-K FY2024,https://www.sec.gov/Archives/edgar/data/1166003/000116600325000014/xpo-20241231.htm
GXO,2023,9778000000,8.7,229000000,17.8,3.3,679000000,284000000,1647000000,468000000,2.43,1.92,8.20,SEC 10-K FY2023,https://www.sec.gov/Archives/edgar/data/1852244/000185224424000014/gxo-20231231.htm
GXO,2024,11709000000,19.7,134000000,15.8,1.9,633000000,190000000,2631000000,413000000,4.16,1.12,4.50,SEC 10-K FY2024,https://www.sec.gov/Archives/edgar/data/1852244/000185224425000021/gxo-20241231.htm
JBHT,2023,12829665000,-13.4,728287000,23.3,7.7,1731000000,-118000000,1576068000,53344000,0.91,6.97,18.70,SEC 10-K FY2023,https://www.sec.gov/Archives/edgar/data/728535/000072853524000006/jbht-20231231.htm
JBHT,2024,12087204000,-5.8,570886000,23.9,6.9,1592000000,618000000,1477702000,46983000,0.93,5.56,14.10,SEC 10-K FY2024,https://www.sec.gov/Archives/edgar/data/728535/000072853525000010/jbht-20241231.htm
