ticker,fiscal_year,revenue,revenue_growth_pct,net_income,gross_margin_pct,operating_margin_pct,ebitda,free_cash_flow,total_debt,cash,debt_to_ebitda,eps,roe_pct,source,source_url
WMT,2023,611289000000,6.7,11680000000,23.5,3.3,32400000000,12228000000,59200000000,8625000000,1.83,1.40,14.61,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm
WMT,2024,648125000000,6.0,15511000000,24.0,4.2,36140000000,15118000000,61420000000,9865000000,1.70,1.91,18.84,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm
AMZN,2023,574785000000,11.8,30425000000,46.9,6.4,85515000000,36805000000,67150000000,73387000000,0.79,2.90,15.10,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm
AMZN,2024,637960000000,11.0,59248000000,48.8,10.8,121280000000,47740000000,58200000000,88200000000,0.48,5.53,22.85,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
TGT,2023,109120000000,2.9,2780000000,24.6,3.5,6870000000,1560000000,19440000000,2229000000,2.83,5.98,24.64,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/27419/000002741923000015/tgt-20230128.htm
TGT,2024,107412000000,-1.6,4138000000,27.6,5.3,8610000000,3880000000,16009000000,3805000000,1.86,8.94,31.81,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/27419/000002741924000032/tgt-20240203.htm
COST,2023,242290000000,6.8,6292000000,12.3,3.4,9980000000,6745000000,7010000000,13700000000,0.70,14.16,26.65,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm
COST,2024,254453000000,5.0,7367000000,12.5,3.7,11050000000,7850000000,6850000000,10840000000,0.62,16.59,28.52,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm
HD,2023,157403000000,4.1,17105000000,33.5,15.3,26540000000,11830000000,43340000000,2757000000,1.63,16.61,1100.0,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/354950/000035495023000059/hd-20230129.htm
HD,2024,152669000000,-3.0,15143000000,33.4,14.2,23950000000,17150000000,44210000000,3760000000,1.85,15.11,1250.0,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/354950/000035495024000062/hd-20240128.htm
LOW,2023,97059000000,0.8,6437000000,33.2,10.5,13480000000,6780000000,35910000000,1348000000,2.66,10.17,,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/60667/000006066723000034/low-20230203.htm
LOW,2024,86377000000,-11.0,7726000000,33.4,12.7,13250000000,6210000000,35890000000,1260000000,2.71,13.20,,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/60667/000006066724000033/low-20240202.htm
DG,2023,37844000000,10.6,2416000000,31.2,8.8,3980000000,1290000000,15420000000,360000000,3.87,10.68,38.45,SEC 10-K FY2023,https://www.sec.gov/ix?doc=/Archives/edgar/data/29534/000155837023004574/dg-20230203x10k.htm
DG,2024,38692000000,2.2,1661000000,30.3,6.2,3150000000,1050000000,16950000000,537000000,5.38,7.55,23.40,SEC 10-K FY2024,https://www.sec.gov/ix?doc=/Archives/edgar/data/29534/000155837024003813/dg-20240202x10k.htm
