id,ticker,name,sector_id,sub_sector,description,headcount,headcount_change_pct,data_as_of
1,AAPL,Apple Inc.,1,Consumer Electronics / Hardware,"Designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories, alongside expanding digital services.",164000,1.9,2024-09-28
2,MSFT,Microsoft Corp.,1,Cloud / Enterprise Software,"Develops and supports software, services, devices, and solutions including Azure cloud, Office 365 productivity suite, Windows, and gaming.",228000,3.2,2024-06-30
3,NVDA,NVIDIA Corp.,1,Semiconductors / AI,"Pioneers accelerated computing and graphics processing units (GPUs) leading datacenter AI training and inference hardware and CUDA software.",29600,13.0,2024-01-28
4,GOOG,Alphabet Inc.,1,Internet / Advertising,"Global technology conglomerate focused on Google Search, YouTube, Android, Google Cloud enterprise services, and moonshot ventures.",183323,0.4,2024-12-31
5,CRM,Salesforce Inc.,1,SaaS / Enterprise Software,"Provides customer relationship management (CRM) software, cloud enterprise applications for sales, service, marketing, and AI-driven business solutions.",72682,-8.4,2024-01-31
6,ADBE,Adobe Inc.,1,SaaS / Creative Software,"Offers creative, document, and digital marketing software including Photoshop, Premiere Pro, Acrobat, Firefly generative AI, and Experience Cloud.",30709,2.6,2024-11-29
7,INTC,Intel Corp.,1,Semiconductors,"Designs and manufactures microprocessors and foundry solutions for client computing, datacenters, and emerging semiconductor architectures.",108900,-12.7,2024-12-28
8,WMT,Walmart Inc.,2,Discount / Omnichannel,"World's largest retailer operating omnichannel supercenters, discount stores, warehouse clubs (Sam's Club), and expanding retail media and e-commerce.",2100000,0.0,2024-01-31
9,AMZN,Amazon.com Inc.,2,E-commerce,"Dominant e-commerce platform and cloud provider offering online retail, third-party seller services, advertising, Prime subscriptions, and logistics fulfillment.",1556000,2.0,2024-12-31
10,TGT,Target Corp.,2,General Merchandise,"General merchandise retailer offering curated apparel, beauty, food, and essentials via store-as-hub fulfillment, Drive Up, and Target Circle loyalty.",440000,6.0,2025-02-01
11,COST,Costco Wholesale,2,Warehouse Club,"Operates membership warehouse clubs delivering high inventory velocity, ultralow markups on bulk groceries, and strong member renewal rates.",333000,5.4,2024-09-01
12,HD,Home Depot Inc.,2,Home Improvement,"Largest home improvement specialty retailer in the world serving DIY homeowners and professional contractors across 2,300+ stores.",470100,1.1,2025-02-02
13,LOW,Lowe's Companies,2,Home Improvement,"Operates home improvement retail stores serving DIY customers and Pro trade accounts with maintenance, repair, and remodeling goods.",300000,0.0,2025-01-31
14,DG,Dollar General Corp.,2,Discount / Value,"Operates 20,000+ small-box discount stores serving rural and underserved American communities with value-oriented consumable goods.",194200,4.5,2025-01-31
15,UPS,United Parcel Service,3,Package Delivery,"Global parcel delivery, supply chain management, and air cargo leader operating an integrated small package ground and air logistics network.",490000,-2.0,2024-12-31
16,FDX,FedEx Corp.,3,Package Delivery / Freight,"Provides express transportation, ground small-package delivery, and freight shipping, actively consolidating Express and Ground into ONE FedEx.",505000,-4.5,2024-05-31
17,EXPD,Expeditors International,3,Freight Forwarding,"Non-asset-based global logistics provider specializing in air and ocean freight forwarding, customs brokerage, and purchase order management.",18400,1.7,2024-12-31
18,CHRW,C.H. Robinson Worldwide,3,Freight Brokerage,"Leading multimodal logistics platform offering truckload brokerage, ocean/air forwarding, and supply chain technology services.",13781,-9.6,2024-12-31
19,XPO,XPO Inc.,3,LTL Freight,"Asset-based less-than-truckload (LTL) carrier in North America with additional European transportation operations, focused on yield management and network density.",38000,0.0,2024-12-31
20,GXO,GXO Logistics,3,Contract Logistics / Warehousing,"World's largest pure-play contract logistics provider managing automated warehousing, reverse logistics, and omnichannel e-commerce fulfillment.",152000,16.0,2024-12-31
21,JBHT,J.B. Hunt Transport,3,Intermodal / Trucking,"Leading North American surface transportation provider with high market share in intermodal rail containers, dedicated contract fleets, and final mile delivery.",33646,-3.1,2024-12-31
